Datetime,City,PM2.5
2015-01-01 01:00:00,DELHI,454.58
2015-01-01 02:00:00,DELHI,440.44
2015-01-01 03:00:00,DELHI,409.09
2015-01-01 04:00:00,DELHI,436.12
2015-01-01 05:00:00,DELHI,415.88
2015-01-01 06:00:00,DELHI,384.16
2015-01-01 07:00:00,DELHI,344.44
2015-01-01 08:00:00,DELHI,337.98
2015-01-01 09:00:00,DELHI,285.22
2015-01-01 10:00:00,DELHI,258.42
2015-01-01 11:00:00,DELHI,265.62
2015-01-01 12:00:00,DELHI,260.09
2015-01-01 13:00:00,DELHI,222.01
2015-01-01 14:00:00,DELHI,202.14
2015-01-01 15:00:00,DELHI,244.14
2015-01-01 16:00:00,DELHI,211.51
2015-01-01 17:00:00,DELHI,191.12
2015-01-01 18:00:00,DELHI,218.44
2015-01-01 19:00:00,DELHI,296.8
2015-01-01 20:00:00,DELHI,336.43
2015-01-01 21:00:00,DELHI,326.64
2015-01-01 22:00:00,DELHI,327.68
2015-01-01 23:00:00,DELHI,335.18
2015-01-02 00:00:00,DELHI,358.68
2015-01-02 01:00:00,DELHI,444.44
2015-01-02 02:00:00,DELHI,464.64
2015-01-02 03:00:00,DELHI,344.05
2015-01-02 04:00:00,DELHI,358.07
2015-01-02 05:00:00,DELHI,271.41
2015-01-02 06:00:00,DELHI,260.95
2015-01-02 07:00:00,DELHI,192.95
2015-01-02 08:00:00,DELHI,73.86
2015-01-02 09:00:00,DELHI,52.54
2015-01-02 10:00:00,DELHI,70.4
2015-01-02 11:00:00,DELHI,96.84
2015-01-02 12:00:00,DELHI,93.35
2015-01-02 13:00:00,DELHI,208.77
2015-01-02 14:00:00,DELHI,239.86
2015-01-02 15:00:00,DELHI,187.96
2015-01-02 16:00:00,DELHI,185.2
2015-01-02 17:00:00,DELHI,157.23
2015-01-02 18:00:00,DELHI,137.38
2015-01-02 19:00:00,DELHI,50.68
2015-01-02 20:00:00,DELHI,59.15
2015-01-02 21:00:00,DELHI,54.25
2015-01-02 22:00:00,DELHI,55.81
2015-01-02 23:00:00,DELHI,49.81
2015-01-03 00:00:00,DELHI,51.21
2015-01-03 01:00:00,DELHI,50.69
2015-01-03 02:00:00,DELHI,41.06
2015-01-03 03:00:00,DELHI,45.08
2015-01-03 04:00:00,DELHI,44.78
2015-01-03 05:00:00,DELHI,51.44
2015-01-03 06:00:00,DELHI,65.0
2015-01-03 07:00:00,DELHI,71.5
2015-01-03 08:00:00,DELHI,76.62
2015-01-03 09:00:00,DELHI,67.13
2015-01-03 10:00:00,DELHI,66.11
2015-01-03 11:00:00,DELHI,91.19
2015-01-03 12:00:00,DELHI,87.84
2015-01-03 13:00:00,DELHI,96.98
2015-01-03 14:00:00,DELHI,87.04
2015-01-03 15:00:00,DELHI,77.24
2015-01-03 16:00:00,DELHI,92.45
2015-01-03 17:00:00,DELHI,97.03
2015-01-03 18:00:00,DELHI,131.12
2015-01-03 19:00:00,DELHI,144.11
2015-01-03 20:00:00,DELHI,136.36
2015-01-03 21:00:00,DELHI,135.44
2015-01-03 22:00:00,DELHI,132.91
2015-01-03 23:00:00,DELHI,151.91
2015-01-04 00:00:00,DELHI,173.64
2015-01-04 01:00:00,DELHI,263.53
2015-01-04 02:00:00,DELHI,168.24
2015-01-04 03:00:00,DELHI,163.27
2015-01-04 04:00:00,DELHI,153.19
2015-01-04 05:00:00,DELHI,122.59
2015-01-04 06:00:00,DELHI,105.5
2015-01-04 07:00:00,DELHI,132.67
2015-01-04 08:00:00,DELHI,105.38
2015-01-04 09:00:00,DELHI,113.33
2015-01-04 10:00:00,DELHI,101.56
2015-01-04 11:00:00,DELHI,100.83
2015-01-04 12:00:00,DELHI,102.07
2015-01-04 13:00:00,DELHI,142.38
2015-01-04 14:00:00,DELHI,141.84
2015-01-04 15:00:00,DELHI,145.26
2015-01-04 16:00:00,DELHI,145.5
2015-01-04 17:00:00,DELHI,144.66
2015-01-04 18:00:00,DELHI,151.1
2015-01-04 19:00:00,DELHI,185.16
2015-01-04 20:00:00,DELHI,199.77
2015-01-04 21:00:00,DELHI,206.82
2015-01-04 22:00:00,DELHI,192.28
2015-01-04 23:00:00,DELHI,183.59
2015-01-05 00:00:00,DELHI,159.96
2015-01-05 01:00:00,DELHI,157.9
2015-01-05 02:00:00,DELHI,151.58
2015-01-05 03:00:00,DELHI,145.66
2015-01-05 04:00:00,DELHI,142.95
2015-01-05 05:00:00,DELHI,143.68
2015-01-05 06:00:00,DELHI,152.73
2015-01-05 07:00:00,DELHI,151.81
2015-01-05 08:00:00,DELHI,150.26
2015-01-05 09:00:00,DELHI,151.12
2015-01-05 10:00:00,DELHI,154.89
2015-01-05 11:00:00,DELHI,153.87
2015-01-05 12:00:00,DELHI,164.75
2015-01-05 13:00:00,DELHI,170.88
2015-01-05 14:00:00,DELHI,161.43
2015-01-05 15:00:00,DELHI,153.86
2015-01-05 16:00:00,DELHI,152.3
2015-01-05 17:00:00,DELHI,146.58
2015-01-05 18:00:00,DELHI,86.9
2015-01-05 19:00:00,DELHI,112.12
2015-01-05 20:00:00,DELHI,132.27
2015-01-05 21:00:00,DELHI,136.26
2015-01-05 22:00:00,DELHI,135.53
2015-01-05 23:00:00,DELHI,149.07
2015-01-06 00:00:00,DELHI,142.27
2015-01-06 01:00:00,DELHI,143.74
2015-01-06 02:00:00,DELHI,149.55
2015-01-06 03:00:00,DELHI,149.64
2015-01-06 04:00:00,DELHI,140.12
2015-01-06 05:00:00,DELHI,135.73
2015-01-06 06:00:00,DELHI,150.88
2015-01-06 07:00:00,DELHI,144.12
2015-01-06 08:00:00,DELHI,134.72
2015-01-06 09:00:00,DELHI,138.27
2015-01-06 10:00:00,DELHI,129.17
2015-01-06 11:00:00,DELHI,117.36
2015-01-06 12:00:00,DELHI,132.77
2015-01-06 13:00:00,DELHI,147.35
2015-01-06 14:00:00,DELHI,150.56
2015-01-06 15:00:00,DELHI,143.14
2015-01-06 16:00:00,DELHI,143.87
2015-01-06 17:00:00,DELHI,134.28
2015-01-06 18:00:00,DELHI,157.51
2015-01-06 19:00:00,DELHI,161.79
2015-01-06 20:00:00,DELHI,165.06
2015-01-06 21:00:00,DELHI,174.48
2015-01-06 22:00:00,DELHI,166.28
2015-01-06 23:00:00,DELHI,237.24
2015-01-07 00:00:00,DELHI,220.68
