Datetime,PM2.5
2018-08-24 12:00:00,21.86
2019-11-04 13:00:00,222.81
2019-04-01 05:00:00,68.05
2017-11-03 08:00:00,153.14
2020-04-03 18:00:00,16.44
2016-11-01 02:00:00,665.07
2016-04-02 12:00:00,128.27
2017-05-11 22:00:00,185.88
2015-05-05 10:00:00,176.13
2017-09-21 14:00:00,46.07
2017-10-22 18:00:00,117.7
2020-03-25 05:00:00,41.34
2018-06-10 11:00:00,76.95
2019-11-20 05:00:00,179.07
2020-05-19 14:00:00,40.82
2017-01-12 17:00:00,84.44
2016-06-30 05:00:00,71.51
2017-11-05 08:00:00,248.29
2015-01-14 03:00:00,170.09
2017-10-20 01:00:00,797.47
2020-05-05 18:00:00,33.04
2018-02-22 08:00:00,191.41
2015-05-06 05:00:00,288.33
2017-01-02 19:00:00,149.05
2018-08-28 18:00:00,19.94
2017-11-23 15:00:00,94.71
2015-11-10 16:00:00,165.51
2019-03-31 01:00:00,95.21
2018-12-05 06:00:00,216.92
2016-06-27 11:00:00,157.92
2018-06-21 00:00:00,59.49
2017-01-09 22:00:00,160.91
2015-08-04 01:00:00,35.99
2015-01-24 14:00:00,224.22
2020-01-14 01:00:00,179.76
2016-07-03 13:00:00,68.86
2016-09-18 11:00:00,54.9
2018-06-24 20:00:00,39.56
2020-02-04 23:00:00,244.76
2020-04-14 04:00:00,59.48
2018-04-20 00:00:00,96.61
2019-12-08 12:00:00,306.78
2016-03-30 20:00:00,61.66
2020-01-12 02:00:00,252.15
2015-12-08 12:00:00,272.97
2015-08-29 13:00:00,57.56
2015-08-18 11:00:00,53.08
2015-12-12 19:00:00,160.8
2016-09-02 23:00:00,72.78
2019-02-23 12:00:00,40.71
2016-12-21 13:00:00,131.3
2019-01-13 08:00:00,262.75
2015-03-08 08:00:00,50.54
2016-01-30 21:00:00,344.38
2020-04-25 14:00:00,17.58
2015-10-18 19:00:00,166.93
2016-02-10 14:00:00,144.08
2018-09-12 18:00:00,31.01
2017-01-29 04:00:00,158.96
2018-06-26 05:00:00,26.05
2015-12-18 21:00:00,127.86
2016-03-22 23:00:00,67.83
2019-01-14 22:00:00,146.49
2019-01-31 22:00:00,161.38
2015-06-14 06:00:00,82.12
2017-08-11 09:00:00,14.5
2018-02-28 14:00:00,118.86
2020-06-06 04:00:00,25.86
2015-05-15 08:00:00,124.14
2019-07-14 08:00:00,46.14
2019-05-13 18:00:00,94.46
2015-06-26 22:00:00,60.01
2016-04-05 09:00:00,91.59
2015-04-10 11:00:00,101.2
2017-04-12 16:00:00,63.92
2015-09-02 19:00:00,106.2
2015-12-27 02:00:00,225.66
2016-05-06 00:00:00,49.51
2015-03-19 20:00:00,116.32
2015-12-23 11:00:00,394.44
2017-04-29 02:00:00,92.16
2019-11-04 18:00:00,91.22
2019-04-27 11:00:00,69.7
2015-03-21 17:00:00,83.59
2020-06-15 11:00:00,53.54
2020-01-13 03:00:00,291.25
2019-10-20 09:00:00,149.43
2018-06-01 10:00:00,60.71
2020-04-29 10:00:00,48.65
2019-08-12 18:00:00,17.33
2016-01-03 03:00:00,329.8
2015-02-09 15:00:00,115.05
2018-03-30 00:00:00,109.05
2017-02-25 06:00:00,536.93
2018-01-12 00:00:00,205.49
2017-01-18 09:00:00,182.51
2016-02-23 09:00:00,83.54
2015-09-14 20:00:00,87.71
2018-10-17 20:00:00,109.27
2015-10-01 18:00:00,49.02
2015-04-03 04:00:00,81.02
2016-07-05 23:00:00,93.69
2020-06-15 13:00:00,46.06
2020-02-10 23:00:00,227.18
2017-10-12 23:00:00,134.59
2015-05-04 19:00:00,67.71
2016-08-16 14:00:00,54.13
2017-07-15 08:00:00,45.5
2015-04-02 07:00:00,77.08
2015-12-13 14:00:00,75.25
2019-06-02 04:00:00,61.43
2017-03-14 14:00:00,75.59
2019-10-08 18:00:00,32.57
2016-05-31 04:00:00,108.24
2019-08-09 15:00:00,13.68
2017-10-18 03:00:00,168.24
2019-12-07 03:00:00,260.2
2015-11-11 13:00:00,110.09
2017-08-21 01:00:00,32.5
2018-01-17 09:00:00,225.36
2016-01-18 03:00:00,290.17
2015-08-27 02:00:00,76.26
2019-04-16 15:00:00,36.94
2016-08-13 05:00:00,35.03
2019-03-01 17:00:00,32.58
2018-07-10 21:00:00,46.85
2016-07-05 00:00:00,52.43
2019-04-21 11:00:00,67.37
2016-10-28 01:00:00,324.83
2020-04-15 11:00:00,84.34
2016-03-09 01:00:00,121.92
2020-04-01 17:00:00,23.69
2015-01-21 23:00:00,171.32
2018-01-16 12:00:00,129.65
2015-08-07 06:00:00,54.21
2015-03-07 12:00:00,129.6
2016-01-15 13:00:00,138.83
2017-02-11 12:00:00,145.11
2020-03-16 11:00:00,63.07
2015-04-12 19:00:00,89.26
2015-09-04 07:00:00,92.26
2019-12-22 08:00:00,103.51
2018-11-22 08:00:00,145.05
2019-07-02 19:00:00,77.32
2018-11-17 11:00:00,157.92
2017-06-10 02:00:00,75.0
2019-06-05 18:00:00,54.74
2019-04-25 05:00:00,93.14
2016-09-27 06:00:00,28.94
2015-02-05 04:00:00,129.58
2017-08-24 06:00:00,23.0
2018-11-14 06:00:00,110.4
2015-02-11 03:00:00,165.08
2016-02-20 00:00:00,211.73
2020-05-09 17:00:00,38.97
2015-04-20 10:00:00,125.32
2016-11-14 14:00:00,171.3
2018-11-18 00:00:00,203.02
2019-08-24 05:00:00,65.47
2018-04-09 11:00:00,58.08
2016-10-07 13:00:00,112.71
2020-04-09 01:00:00,28.25
2016-12-14 00:00:00,206.77
2015-05-24 04:00:00,76.1
2020-05-16 16:00:00,35.42
2015-04-26 09:00:00,60.83
2017-02-11 07:00:00,137.24
2016-01-16 10:00:00,164.75
2015-10-16 17:00:00,139.63
2016-05-17 00:00:00,96.81
2015-08-03 13:00:00,50.93
2017-03-21 10:00:00,134.06
2016-08-30 09:00:00,68.23
2017-12-23 03:00:00,120.85
2018-06-12 11:00:00,105.05
2016-03-08 04:00:00,82.73
2017-03-13 08:00:00,127.67
2016-12-08 08:00:00,195.21
2016-02-26 00:00:00,148.31
2015-04-27 09:00:00,57.24
2016-12-01 22:00:00,316.2
2019-03-27 04:00:00,82.93
2016-03-14 18:00:00,36.33
2017-01-08 01:00:00,140.02
2016-12-30 16:00:00,188.36
2017-10-06 04:00:00,43.01
2020-01-11 14:00:00,84.57
2015-05-05 08:00:00,171.0
2017-09-29 09:00:00,91.36
2019-12-03 14:00:00,90.34
2017-06-17 22:00:00,45.5
2018-02-12 01:00:00,77.0
2016-05-31 07:00:00,69.26
2017-10-30 16:00:00,159.86
2018-11-14 16:00:00,102.69
2020-06-17 02:00:00,42.61
2017-04-28 09:00:00,160.58
2018-12-24 09:00:00,480.45
2020-02-09 09:00:00,200.41
2020-03-07 17:00:00,51.11
2017-12-25 20:00:00,171.72
